pre_name,pre_type,post_name,post_type,syn_name,delay_mean,delay_std,CV,strength,p
L23exc,E,L23exc,E,AMPA,0.4,0.1,,1,0.05
L23exc,E,L23exc,E,NMDA,0.4,0.1,,0.1,0.05
L23exc,E,L5exc,E,AMPA,1.4,0.25,,1,0.06
L23exc,E,L5exc,E,NMDA,1.4,0.25,,0.1,0.06
L23exc,E,Inh,I,AMPA,0.4,0.1,,1.75,0.09
L23exc,E,Inh,I,NMDA,0.4,0.1,,0.175,0.09
L5exc,E,L23exc,E,AMPA,1.4,0.25,,1,0.01
L5exc,E,L23exc,E,NMDA,1.4,0.25,,0.1,0.01
L5exc,E,L5exc,E,AMPA,1.4,0.25,,1,0.0625
L5exc,E,L5exc,E,NMDA,1.4,0.25,,0.1,0.0625
L5exc,E,Inh,I,AMPA,0.4,0.1,,1.75,0.025
L5exc,E,Inh,I,NMDA,0.4,0.1,,0.175,0.025
Inh,I,L23exc,E,GABAA,0.4,0.1,,1,0.12
Inh,I,L23exc,E,GABAB,0.4,0.1,,2.777777778,0.12
Inh,I,L5exc,E,GABAA,0.4,0.1,,1,0.15
Inh,I,L5exc,E,GABAB,0.4,0.1,,2.777777778,0.15
Inh,I,Inh,I,GABAA,0.4,0.1,,1,0.15
Inh,I,Inh,I,GABAB,0.4,0.1,,2.777777778,0.15
inL23exc,E,L23exc,E,AMPA,6,0.5,,2.7,0.15
inL23exc,E,L23exc,E,NMDA,6,0.5,,0.1,0.15
inL5exc,E,L5exc,E,AMPA,6,0.5,,4.5,0.15
inL5exc,E,L5exc,E,NMDA,6,0.5,,0.1,0.15
inInh,E,Inh,I,AMPA,6,0.5,,2,0.15
inInh,E,Inh,I,NMDA,6,0.5,,0.8,0.15
